name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1558-141,J2000,15h58m21.948056s,"-14d09'59.050910""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1559+030,J2000,15h59m30.972610s,"03d04'48.256960""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1603+575,J2000,16h03m55.931586s,"57d30'54.412060""",1,6cm,C,S,S,S,X,10.0,,6cm,C,S,S,S,X,10.0,
1603+575,J2000,16h03m55.931586s,"57d30'54.412060""",2,3.7cm,X,S,S,S,X,10.0,,3.7cm,X,S,S,S,X,10.0,
1604+012,J2000,16h04m45.2917s,"01d17'51.222""",0,90cm,P,X,X,S,X,1.0,4.0,90cm,P,X,X,S,X,1.0,4.0
1604+012,J2000,16h04m45.2917s,"01d17'51.222""",1,20cm,L,X,X,X,P,4.0,,20cm,L,X,X,X,P,,4.0
1605-175,J2000,16h05m02.1926s,"-17d34'14.406""",0,90cm,P,X,S,S,X,2.0,7.0,90cm,P,X,S,S,X,2.0,7.0
1605-175,J2000,16h05m02.1926s,"-17d34'14.406""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
1606+314,J2000,16h06m08.518405s,"31d24'46.457890""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
1606+314,J2000,16h06m08.518405s,"31d24'46.457890""",1,6cm,C,S,S,S,X,20.0,,6cm,C,S,S,S,X,20.0,
1608+104,J2000,16h08m46.203179s,"10d29'07.775850""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1609+266,J2000,16h09m13.320753s,"26d41'29.036380""",1,6cm,C,S,P,P,P,300.0,,6cm,C,S,P,P,P,,300.0
1609+266,J2000,16h09m13.320753s,"26d41'29.036380""",2,3.7cm,X,S,P,P,P,300.0,,3.7cm,X,S,P,P,P,,300.0
1609+266,J2000,16h09m13.320753s,"26d41'29.036380""",3,2cm,U,X,S,S,S,300.0,,2cm,U,X,S,S,S,,300.0
1616+049,J2000,16h16m37.556816s,"04d59'32.736630""",0,20cm,L,X,S,S,X,6.0,40.0,20cm,L,X,S,S,X,6.0,40.0
1617+027,J2000,16h17m49.908132s,"02d46'43.105200""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1619+062,J2000,16h19m03.687684s,"06d13'02.243570""",1,6cm,C,S,X,X,X,100.0,,6cm,C,S,X,X,X,100.0,
1619+062,J2000,16h19m03.687684s,"06d13'02.243570""",2,3.7cm,X,P,P,X,X,100.0,,3.7cm,X,P,P,X,X,100.0,
1620+490,J2000,16h20m31.225186s,"49d01'53.257310""",0,20cm,L,S,X,X,X,20.0,100.0,20cm,L,S,X,X,X,20.0,100.0
1624+568,J2000,16h24m32.179569s,"56d52'28.001140""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
1625+415,J2000,16h25m57.669700s,"41d34'40.629220""",0,20cm,L,X,X,S,S,12.0,,20cm,L,X,X,S,S,,12.0
1625-254,J2000,16h25m46.891639s,"-25d27'38.326880""",0,20cm,L,X,X,X,P,5.0,,20cm,L,X,X,X,P,,5.0
1625-254,J2000,16h25m46.891639s,"-25d27'38.326880""",1,6cm,C,P,S,X,X,60.0,,6cm,C,P,S,X,X,60.0,
1625-254,J2000,16h25m46.891639s,"-25d27'38.326880""",2,3.7cm,X,S,S,S,S,60.0,,3.7cm,X,S,S,S,S,60.0,
1625-311,J2000,16h25m55.4381s,"-31d08'08.341""",0,90cm,P,X,S,S,S,7.0,,90cm,P,X,S,S,S,,7.0
1625-311,J2000,16h25m55.4381s,"-31d08'08.341""",1,20cm,L,,,S,P,6.0,,20cm,L,,,S,P,,6.0
1629+679,J2000,16h29m51.8440s,"67d57'14.948""",1,6cm,C,S,S,S,S,200.0,,6cm,C,S,S,S,S,,200.0
1629+679,J2000,16h29m51.8440s,"67d57'14.948""",2,3.7cm,X,X,S,S,S,200.0,,3.7cm,X,X,S,S,S,,200.0
1631+494,J2000,16h31m16.539894s,"49d27'39.515860""",1,6cm,C,S,S,X,X,40.0,,6cm,C,S,S,X,X,40.0,
1631+494,J2000,16h31m16.539894s,"49d27'39.515860""",2,3.7cm,X,S,S,X,X,40.0,,3.7cm,X,S,S,X,X,40.0,
1632+825,J2000,16h32m31.969981s,"82d32'16.399900""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1634+627,J2000,16h34m33.8029s,"62d45'35.903""",1,6cm,C,X,S,P,P,200.0,,6cm,C,X,S,P,P,,200.0
1634+627,J2000,16h34m33.8029s,"62d45'35.903""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
1634+627,J2000,16h34m33.8029s,"62d45'35.903""",3,2cm,U,X,X,S,S,200.0,,2cm,U,X,X,S,S,,200.0
1635+381,J2000,16h35m15.492973s,"38d08'04.500600""",2,3.7cm,X,P,P,P,P,400.0,,3.7cm,X,P,P,P,P,,400.0
1637+472,J2000,16h37m45.130564s,"47d17'33.831340""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
1638+573,J2000,16h38m13.456293s,"57d20'23.979180""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
1638+573,J2000,16h38m13.456293s,"57d20'23.979180""",1,6cm,C,P,P,X,X,50.0,,6cm,C,P,P,X,X,50.0,
1638+625,J2000,16h38m28.2058s,"62d34'44.318""",0,20cm,L,X,S,P,P,45.0,,20cm,L,X,S,P,P,,45.0
1638+625,J2000,16h38m28.2058s,"62d34'44.318""",1,6cm,C,X,X,S,S,45.0,,6cm,C,X,X,S,S,,45.0
1638+625,J2000,16h38m28.2058s,"62d34'44.318""",2,3.7cm,X,X,X,S,P,45.0,,3.7cm,X,X,X,S,P,,45.0
1638+625,J2000,16h38m28.2058s,"62d34'44.318""",3,2cm,U,X,X,X,S,45.0,,2cm,U,X,X,X,S,,45.0
1639+539,J2000,16h39m39.842928s,"53d57'47.118990""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
1639+865,J2000,16h39m25.1184s,"86d31'53.194""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1640+123,J2000,16h40m47.938850s,"12d20'02.078870""",0,20cm,L,S,P,P,P,60.0,,20cm,L,S,P,P,P,,60.0
1640+123,J2000,16h40m47.938850s,"12d20'02.078870""",1,6cm,C,X,S,P,P,60.0,,6cm,C,X,S,P,P,,60.0
1640+123,J2000,16h40m47.938850s,"12d20'02.078870""",2,3.7cm,X,X,S,P,P,60.0,,3.7cm,X,X,S,P,P,,60.0
1640+123,J2000,16h40m47.938850s,"12d20'02.078870""",3,2cm,U,X,X,S,P,60.0,,2cm,U,X,X,S,P,,60.0
1640+397,J2000,16h40m29.632771s,"39d46'46.028540""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
1642+398,J2000,16h42m58.809951s,"39d48'36.993950""",0,20cm,L,X,X,X,S,5.0,,20cm,L,X,X,X,S,,5.0
1642+398,J2000,16h42m58.809951s,"39d48'36.993950""",2,3.7cm,X,S,X,X,X,200.0,,3.7cm,X,S,X,X,X,200.0,
1642+689,J2000,16h42m07.848514s,"68d56'39.756400""",0,20cm,L,X,X,X,S,6.0,,20cm,L,X,X,X,S,,6.0
1645+635,J2000,16h45m58.552687s,"63d30'10.922480""",0,20cm,L,W,X,X,X,30.0,,20cm,L,W,X,X,X,30.0,
1646+409,J2000,16h46m56.858695s,"40d59'17.172100""",0,20cm,L,W,X,X,X,30.0,,20cm,L,W,X,X,X,30.0,
