name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",0,90cm,P,X,S,S,S,7.0,,90cm,P,X,S,S,S,,7.0
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",1,20cm,L,X,X,X,S,7.0,,20cm,L,X,X,X,S,,7.0
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0010+174,J2000,00h10m33.990619s,"17d24'18.761350""",0,20cm,L,P,S,X,X,15.0,,20cm,L,P,S,X,X,15.0,
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",0,20cm,L,P,P,P,P,100.0,,20cm,L,P,P,P,P,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",1,6cm,C,X,S,P,P,100.0,,6cm,C,X,S,P,P,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",2,3.7cm,X,X,X,S,S,100.0,,3.7cm,X,X,X,S,S,,100.0
0010-418,J2000,00h10m52.519686s,"-41d53'10.790750""",3,2cm,U,X,X,X,X,100.0,,2cm,U,X,X,X,X,,100.0
0011-262,J2000,00h11m01.246752s,"-26d12'33.377130""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",0,20cm,L,X,X,X,X,6.0,,20cm,L,X,X,X,X,,6.0
0013+408,J2000,00h13m31.130213s,"40d51'37.144070""",2,3.7cm,X,S,X,X,X,200.0,,3.7cm,X,S,X,X,X,200.0,
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",0,90cm,P,X,S,S,X,,,90cm,P,X,S,S,X,0.7,6.0
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",1,20cm,L,X,X,S,P,6.0,,20cm,L,X,X,S,P,,6.0
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",2,6cm,C,X,X,X,S,6.0,,6cm,C,X,X,X,S,6.0,
0014+612,J2000,00h14m48.8154s,"61d17'43.8529""",3,3.7cm,X,X,X,X,S,10.0,,3.7cm,X,X,X,X,S,,10.0
0016-002,J2000,00h16m11.088554s,"-00d15'12.445280""",0,20cm,L,P,P,S,X,7.5,,20cm,L,P,P,S,X,7.5,
0017+815,J2000,00h17m08.474953s,"81d35'08.136330""",0,20cm,L,S,S,S,C,6.0,,20cm,L,S,S,S,C,6.0,
0018-127,J2000,00h18m51.4001s,"-12d42'33.214""",0,90cm,P,X,S,S,S,6.0,,90cm,P,X,S,S,S,,6.0
0018-127,J2000,00h18m51.4001s,"-12d42'33.214""",1,20cm,L,X,X,X,S,6.0,,20cm,L,X,X,X,S,,6.0
0019+734,J2000,00h19m45.786427s,"73d27'30.017450""",0,20cm,L,P,S,X,X,20.0,,20cm,L,P,S,X,X,20.0,
0020+156,J2000,00h20m25.3180s,"15d40'52.700""",0,90cm,P,X,X,S,S,1.5,,90cm,P,X,X,S,S,,1.5
0020+156,J2000,00h20m25.3180s,"15d40'52.700""",1,20cm,L,X,X,X,S,1.5,,20cm,L,X,X,X,S,,1.5
0021+732,J2000,00h21m27.375060s,"73d12'41.931880""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",1,6cm,C,S,P,P,P,300.0,,6cm,C,S,P,P,P,,300.0
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",2,3.7cm,X,X,P,P,P,300.0,,3.7cm,X,X,P,P,P,,300.0
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",3,2cm,U,X,X,X,X,300.0,,2cm,U,X,X,X,X,,300.0
0022+002,J2000,00h22m25.425930s,"00d14'56.161440""",4,0.7cm,Q,X,X,X,X,300.0,,0.7cm,Q,X,X,X,X,,300.0
0022+061,J2000,00h22m32.441226s,"06d08'04.268930""",0,20cm,L,S,S,X,X,6.0,,20cm,L,S,S,X,X,6.0,
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",2,3.7cm,X,P,P,P,P,600.0,,3.7cm,X,P,P,P,P,,600.0
0024-420,J2000,00h24m42.989921s,"-42d02'03.950200""",3,2cm,U,X,S,S,S,600.0,,2cm,U,X,S,S,S,,600.0
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0025+393,J2000,00h25m26.157705s,"39d19'35.439500""",1,6cm,C,S,S,X,X,60.0,,6cm,C,S,S,X,X,60.0,
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",1,20cm,L,X,S,P,P,30.0,,20cm,L,X,S,P,P,,30.0
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",2,6cm,C,X,X,S,P,30.0,,6cm,C,X,X,S,P,,30.0
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",3,3.7cm,X,X,X,S,S,30.0,,3.7cm,X,X,X,S,S,,30.0
0025-260,J2000,00h25m49.1683s,"-26d02'12.695""",4,2cm,U,X,X,X,S,30.0,,2cm,U,X,X,X,S,,30.0
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
0026+351,J2000,00h26m41.724582s,"35d08'42.276320""",2,3.7cm,X,S,X,X,X,200.0,,3.7cm,X,S,X,X,X,200.0,
0035-200,J2000,00h35m08.7836s,"-20d03'59.664""",0,90cm,P,X,S,S,S,7.0,,90cm,P,X,S,S,S,,7.0
0035-200,J2000,00h35m08.7836s,"-20d03'59.664""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
0038+416,J2000,00h38m24.843610s,"41d37'06.000570""",0,20cm,L,S,S,S,X,10.0,,20cm,L,S,S,S,X,10.0,
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",1,6cm,C,S,S,S,S,200.0,,6cm,C,S,S,S,S,,200.0
0038-213,J2000,00h38m29.954721s,"-21d20'04.022270""",2,3.7cm,X,X,S,S,S,200.0,,3.7cm,X,X,S,S,S,,200.0
0040+331,J2000,00h40m55.0596s,"33d10'08.267""",0,90cm,P,X,S,S,X,1.5,4.0,90cm,P,X,S,S,X,1.5,4.0
0040+331,J2000,00h40m55.0596s,"33d10'08.267""",1,20cm,L,X,X,X,P,4.0,,20cm,L,X,X,X,P,,4.0
0040-017,J2000,00h40m57.611582s,"-01d46'32.025620""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0042+233,J2000,00h42m04.545183s,"23d20'01.061290""",0,20cm,L,P,P,X,X,10.0,,20cm,L,P,P,X,X,10.0,
0042-442,J2000,00h42m09.4222s,"-44d14'15.581""",0,90cm,P,X,X,S,S,1.0,3.0,90cm,P,X,X,S,S,1.0,3.0
0042-442,J2000,00h42m09.4222s,"-44d14'15.581""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0044+663,J2000,00h44m41.2563s,"66d18'41.105""",0,90cm,P,X,S,S,X,1.0,7.0,90cm,P,X,S,S,X,1.0,7.0
0044+663,J2000,00h44m41.2563s,"66d18'41.105""",1,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",0,90cm,P,X,S,S,X,1.0,6.0,90cm,P,X,S,S,X,1.0,6.0
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",1,20cm,L,X,X,S,P,6.0,,20cm,L,X,X,S,P,,6.0
0044-355,J2000,00h44m41.2294s,"-35d30'41.628""",2,6cm,C,X,X,X,S,6.0,,6cm,C,X,X,X,S,,6.0
0050-094,J2000,00h50m41.317390s,"-09d29'05.210210""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",1,6cm,C,X,X,S,S,25.0,,6cm,C,X,X,S,S,,25.0
0051-068,J2000,00h51m08.209796s,"-06d50'02.228140""",2,3.7cm,X,X,X,P,P,40.0,,3.7cm,X,X,X,P,P,,40.0
0054-035,J2000,00h54m08.4465s,"-03d33'55.363""",0,90cm,P,S,S,S,S,16.0,,90cm,P,S,S,S,S,,16.0
0054-035,J2000,00h54m08.4465s,"-03d33'55.363""",1,20cm,L,X,X,S,S,16.0,,20cm,L,X,X,S,S,,16.0
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",1,6cm,C,P,S,X,X,40.0,,6cm,C,P,S,X,X,40.0,
0057+303,J2000,00h57m48.883353s,"30d21'08.812130""",2,3.7cm,X,P,P,S,X,30.0,,3.7cm,X,P,P,S,X,30.0,
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",1,6cm,C,S,P,P,P,200.0,,6cm,C,S,P,P,P,,200.0
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
0059+001,J2000,00h59m05.514924s,"00d06'51.621710""",3,2cm,U,X,X,S,S,200.0,,2cm,U,X,X,S,S,,200.0
0059-170,J2000,00h59m06.6845s,"-17d00'38.522""",0,20cm,L,X,X,X,S,2.0,,20cm,L,X,X,X,S,,2.0
0105+483,J2000,01h05m49.928164s,"48d19'03.192580""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0106-405,J2000,01h06m45.107966s,"-40d34'19.960360""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",0,20cm,L,X,X,S,P,9.0,,20cm,L,X,X,S,P,,9.0
0108+015,J2000,01h08m38.771074s,"01d35'00.317140""",2,3.7cm,X,S,S,S,S,300.0,,3.7cm,X,S,S,S,S,300.0,
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",1,6cm,C,X,S,P,P,200.0,,6cm,C,X,S,P,P,,200.0
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
0110+565,J2000,01h10m57.5610s,"56d32'16.932""",3,2cm,U,X,X,S,S,200.0,,2cm,U,X,X,S,S,,200.0
0110+680,J2000,01h10m12.873407s,"68d05'41.218500""",0,2cm,U,W,W,W,X,20.0,,2cm,U,W,W,W,X,20.0,
0110-076,J2000,01h10m50.020945s,"-07d41'41.113690""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
0111+391,J2000,01h11m37.316982s,"39d06'28.104300""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0112+227,J2000,01h12m05.824718s,"22d44'38.786190""",0,20cm,L,S,X,X,X,30.0,,20cm,L,S,X,X,X,30.0,
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",1,6cm,C,S,X,X,X,100.0,,6cm,C,S,X,X,X,100.0,
0112+353,J2000,01h12m12.944448s,"35d22'19.336650""",2,3.7cm,X,S,X,X,X,100.0,,3.7cm,X,S,X,X,X,100.0,
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",1,6cm,C,S,X,X,X,100.0,,6cm,C,S,X,X,X,100.0,
0113+498,J2000,01h13m27.006816s,"49d48'24.043410""",2,3.7cm,X,S,X,X,X,100.0,,3.7cm,X,S,X,X,X,100.0,
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",1,20cm,L,X,S,S,S,50.0,,20cm,L,X,S,S,S,,50.0
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",2,6cm,C,X,S,S,S,50.0,,6cm,C,X,S,S,S,,50.0
0114+483,J2000,01h14m23.5092s,"48d23'53.056""",3,3.7cm,X,X,X,S,S,50.0,,3.7cm,X,X,X,S,S,,50.0
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",0,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0115-014,J2000,01h15m17.099972s,"-01d27'04.577370""",1,6cm,C,P,P,X,X,75.0,,6cm,C,P,P,X,X,75.0,
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",0,20cm,L,X,X,X,S,2.0,,20cm,L,X,X,X,S,,2.0
0116-116,J2000,01h16m12.521963s,"-11d36'15.434050""",1,6cm,C,P,S,X,X,75.0,,6cm,C,P,S,X,X,75.0,
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",1,20cm,L,X,S,P,P,40.0,,20cm,L,X,S,P,P,,40.0
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",2,6cm,C,X,X,S,P,40.0,,6cm,C,X,X,S,P,,40.0
0116-208,J2000,01h16m51.4043s,"-20d52'06.813""",3,3.7cm,X,X,X,X,S,40.0,,3.7cm,X,X,X,X,S,,40.0
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
0118-216,J2000,01h18m57.262140s,"-21d41'30.139550""",1,6cm,C,S,S,S,X,25.0,,6cm,C,S,S,S,X,25.0,
0119+084,J2000,01h19m01.2740s,"08d29'54.680""",0,20cm,L,X,S,S,S,40.0,,20cm,L,X,S,S,S,,40.0
0119+084,J2000,01h19m01.2740s,"08d29'54.680""",1,3.7cm,X,X,X,,,40.0,,3.7cm,X,X,X,,,,40.0
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",0,20cm,L,P,P,S,S,2.0,,20cm,L,P,P,S,S,2.0,
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",1,6cm,C,S,S,P,P,200.0,,6cm,C,S,S,P,P,,200.0
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
0119+321,J2000,01h19m35.000447s,"32d10'50.054290""",3,2cm,U,X,X,S,S,200.0,,2cm,U,X,X,S,S,,200.0
0120-153,J2000,01h20m27.1972s,"-15d20'16.631""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
0120-153,J2000,01h20m27.1972s,"-15d20'16.631""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
0120-270,J2000,01h20m31.663334s,"-27d01'24.652570""",2,3.7cm,X,S,S,X,X,200.0,,3.7cm,X,S,S,X,X,200.0,
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",0,20cm,L,P,S,X,X,25.0,,20cm,L,P,S,X,X,25.0,
0121+043,J2000,01h21m56.861699s,"04d22'24.734360""",1,6cm,C,S,S,S,X,25.0,,6cm,C,S,S,S,X,25.0,
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",0,20cm,L,X,S,X,X,15.0,50.0,20cm,L,X,S,X,X,15.0,50.0
0121+118,J2000,01h21m41.595043s,"11d49'50.413130""",1,6cm,C,S,S,S,X,25.0,,6cm,C,S,S,S,X,25.0,
0125-000,J2000,01h25m28.843788s,"-00d05'55.931800""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",1,6cm,C,S,S,S,X,15.0,,6cm,C,S,S,S,X,15.0,
0126+259,J2000,01h26m42.792631s,"25d59'01.300790""",2,3.7cm,X,S,S,S,X,15.0,,3.7cm,X,S,S,S,X,15.0,
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",0,90cm,P,S,S,S,X,1.5,12.0,90cm,P,S,S,S,X,1.5,12.0
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",1,20cm,L,X,X,S,P,1.0,12.0,20cm,L,X,X,S,P,1.0,12.0
0129+236,J2000,01h29m59.8013s,"23d38'20.728""",2,6cm,C,X,X,X,S,12.0,,6cm,C,X,X,X,S,,12.0
0132+434,J2000,01h32m44.126857s,"43d25'32.660970""",0,20cm,L,W,W,X,X,10.0,,20cm,L,W,W,X,X,10.0,
0132-169,J2000,01h32m43.487454s,"-16d54'48.521370""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",0,20cm,L,X,S,S,S,30.0,,20cm,L,X,S,S,S,,30.0
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",1,6cm,C,X,X,S,P,30.0,,6cm,C,X,X,S,P,,30.0
0134-095,J2000,01h34m35.6676s,"-09d31'03.072""",2,3.7cm,X,X,X,X,S,30.0,,3.7cm,X,X,X,X,S,,30.0
0135+081,J2000,01h35m14.9994s,"08d11'07.106""",0,90cm,P,X,S,S,S,1.0,4.0,90cm,P,X,S,S,S,1.0,4.0
0135+081,J2000,01h35m14.9994s,"08d11'07.106""",1,20cm,L,X,X,X,S,4.0,,20cm,L,X,X,X,S,,4.0
0135-201,J2000,01h35m37.509375s,"-20d08'45.861680""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",1,20cm,L,X,P,P,P,40.0,,20cm,L,X,P,P,P,,40.0
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",2,6cm,C,X,S,P,P,40.0,,6cm,C,X,S,P,P,,40.0
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",3,3.7cm,X,X,X,S,P,40.0,,3.7cm,X,X,X,S,P,,40.0
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",4,2cm,U,X,X,S,P,40.0,,2cm,U,X,X,S,P,,40.0
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",5,1.3cm,K,X,X,X,S,100.0,,1.3cm,K,X,X,X,S,,100.0
0137+331,J2000,01h37m41.299431s,"33d09'35.132990""",6,0.7cm,Q,X,X,X,S,100.0,,0.7cm,Q,X,X,X,S,,100.0
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",1,6cm,C,S,X,X,X,100.0,,6cm,C,S,X,X,X,100.0,
0137-245,J2000,01h37m38.346378s,"-24d30'53.885260""",2,3.7cm,X,S,S,X,X,100.0,400.0,3.7cm,X,S,S,X,X,100.0,400.0
0141+138,J2000,01h41m09.1545s,"13d53'28.033""",0,90cm,P,X,S,S,X,1.0,15.0,90cm,P,X,S,S,X,1.0,15.0
0141+138,J2000,01h41m09.1545s,"13d53'28.033""",1,20cm,L,X,X,S,P,15.0,,20cm,L,X,X,S,P,,15.0
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0141-094,J2000,01h41m25.832025s,"-09d28'43.673810""",1,6cm,C,P,P,X,X,50.0,,6cm,C,P,P,X,X,50.0,
0141-271,J2000,01h41m27.1913s,"-27d06'07.125""",0,90cm,P,X,S,S,S,1.0,4.0,90cm,P,X,S,S,S,1.0,4.0
0141-271,J2000,01h41m27.1913s,"-27d06'07.125""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0145-275,J2000,01h45m03.394589s,"-27d33'34.328870""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
0148+389,J2000,01h48m24.377637s,"38d54'05.219770""",0,20cm,L,S,S,X,X,6.0,,20cm,L,S,S,X,X,6.0,
0149+189,J2000,01h49m49.718946s,"18d57'20.610890""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0151+277,J2000,01h51m27.146149s,"27d44'41.793650""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
0152+221,J2000,01h52m18.059047s,"22d07'07.700040""",2,3.7cm,X,S,P,P,P,400.0,,3.7cm,X,S,P,P,P,,400.0
0153-331,J2000,01h53m10.121744s,"-33d10'25.861310""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
0154+477,J2000,01h54m56.289876s,"47d43'26.539140""",0,20cm,L,S,X,X,X,40.0,,20cm,L,S,X,X,X,40.0,
0157+747,J2000,01h57m34.964908s,"74d42'43.229980""",0,20cm,L,P,P,S,X,6.0,,20cm,L,P,P,S,X,6.0,
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",0,20cm,L,X,X,S,S,8.0,,20cm,L,X,X,S,S,,8.0
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",1,6cm,C,X,X,X,S,8.0,,6cm,C,X,X,X,S,,8.0
0157-107,J2000,01h57m41.5280s,"-10d43'40.408""",2,3.7cm,X,X,X,X,S,8.0,,3.7cm,X,X,X,X,S,,8.0
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",0,90cm,P,S,S,X,X,3.0,8.0,90cm,P,S,S,X,X,3.0,8.0
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",1,20cm,L,X,X,S,P,8.0,,20cm,L,X,X,S,P,,8.0
0201-115,J2000,02h01m57.1647s,"-11d32'33.133""",2,6cm,C,X,X,X,S,8.0,,6cm,C,X,X,X,S,,8.0
0203+115,J2000,02h03m46.657061s,"11d34'45.409620""",0,20cm,L,P,S,X,X,9.0,,20cm,L,P,S,X,X,9.0,
0203+725,J2000,02h03m33.385004s,"72d32'53.667410""",0,20cm,L,W,W,W,W,5.0,,20cm,L,W,W,W,W,5.0,
0203-438,J2000,02h03m40.7543s,"-43d49'50.783""",0,20cm,L,X,X,S,P,15.0,,20cm,L,X,X,S,P,,15.0
0203-438,J2000,02h03m40.7543s,"-43d49'50.783""",1,6cm,C,X,X,X,S,15.0,,6cm,C,X,X,X,S,,15.0
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",0,90cm,P,S,S,S,X,1.0,,90cm,P,S,S,S,X,1.0,
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",1,20cm,L,S,P,P,P,100.0,,20cm,L,S,P,P,P,,100.0
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",2,6cm,C,X,S,P,P,100.0,,6cm,C,X,S,P,P,,100.0
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",3,3.7cm,X,X,S,P,P,100.0,,3.7cm,X,X,S,P,P,,100.0
0204+152,J2000,02h04m50.413904s,"15d14'11.043460""",4,2cm,U,X,X,S,P,100.0,,2cm,U,X,X,S,P,,100.0
0204+368,J2000,02h04m55.596051s,"36d49'17.997230""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0205+322,J2000,02h05m04.925371s,"32d12'30.095600""",0,20cm,L,P,P,P,X,6.0,,20cm,L,P,P,P,X,6.0,
0209+724,J2000,02h09m51.7921s,"72d29'26.669""",1,6cm,C,X,X,X,S,20.0,,6cm,C,X,X,X,S,,20.0
0209+724,J2000,02h09m51.7921s,"72d29'26.669""",2,3.7cm,X,X,X,S,S,50.0,,3.7cm,X,X,X,S,S,,50.0
0215-023,J2000,02h15m42.017245s,"-02d22'56.751750""",0,20cm,L,S,X,X,X,60.0,,20cm,L,S,X,X,X,60.0,
0215-023,J2000,02h15m42.017245s,"-02d22'56.751750""",1,6cm,C,P,P,S,X,10.0,,6cm,C,P,P,S,X,10.0,
0217+017,J2000,02h17m48.954740s,"01d44'49.699090""",0,20cm,L,S,S,X,X,20.0,,20cm,L,S,S,X,X,20.0,
0217+017,J2000,02h17m48.954740s,"01d44'49.699090""",1,6cm,C,S,S,X,X,60.0,,6cm,C,S,S,X,X,60.0,
0217+017,J2000,02h17m48.954740s,"01d44'49.699090""",2,3.7cm,X,S,S,X,X,60.0,,3.7cm,X,S,S,X,X,60.0,
0219+013,J2000,02h19m07.024497s,"01d20'59.865760""",1,6cm,C,S,S,X,X,50.0,,6cm,C,S,S,X,X,50.0,
0220-019,J2000,02h20m54.2800s,"-01d56'51.800""",0,90cm,P,X,X,S,S,2.0,,90cm,P,X,X,S,S,,2.0
0220-019,J2000,02h20m54.2800s,"-01d56'51.800""",1,20cm,L,X,X,X,S,2.0,,20cm,L,X,X,X,S,,2.0
0221+359,J2000,02h21m05.4733s,"35d56'13.791""",0,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
0221+359,J2000,02h21m05.4733s,"35d56'13.791""",2,3.7cm,X,X,X,S,S,50.0,,3.7cm,X,X,X,S,S,,50.0
0221+359,J2000,02h21m05.4733s,"35d56'13.791""",3,2cm,U,X,X,S,S,50.0,,2cm,U,X,X,S,S,,50.0
0222-346,J2000,02h22m56.401625s,"-34d41'28.730110""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
0223+400,J2000,02h23m43.0900s,"40d00'53.000""",0,90cm,P,X,X,S,S,2.0,,90cm,P,X,X,S,S,,2.0
0223+400,J2000,02h23m43.0900s,"40d00'53.000""",1,20cm,L,X,X,X,S,2.0,,20cm,L,X,X,X,S,,2.0
0224+278,J2000,02h24m12.2973s,"27d50'12.016""",0,90cm,P,X,S,S,X,1.0,8.0,90cm,P,X,S,S,X,1.0,8.0
0224+278,J2000,02h24m12.2973s,"27d50'12.016""",1,20cm,L,X,X,S,P,8.0,,20cm,L,X,X,S,P,,8.0
0228+673,J2000,02h28m50.051459s,"67d21'03.029260""",0,20cm,L,S,S,X,X,15.0,,20cm,L,S,S,X,X,15.0,
0229+777,J2000,02h29m14.7115s,"77d43'16.113""",0,90cm,P,S,S,X,X,3.0,30.0,90cm,P,S,S,X,X,3.0,30.0
0229+777,J2000,02h29m14.7115s,"77d43'16.113""",1,20cm,L,X,X,P,P,30.0,,20cm,L,X,X,P,P,,30.0
0229+777,J2000,02h29m14.7115s,"77d43'16.113""",2,6cm,C,X,X,S,S,30.0,,6cm,C,X,X,S,S,,30.0
0229+777,J2000,02h29m14.7115s,"77d43'16.113""",3,3.7cm,X,X,X,X,S,30.0,,3.7cm,X,X,X,X,S,,30.0
0230+405,J2000,02h30m45.710853s,"40d32'53.068270""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
0231+133,J2000,02h31m45.894054s,"13d22'54.716270""",0,20cm,L,X,X,S,S,7.0,,20cm,L,X,X,S,S,,7.0
0231+133,J2000,02h31m45.894054s,"13d22'54.716270""",1,6cm,C,X,S,S,P,100.0,,6cm,C,X,S,S,P,,100.0
0231+133,J2000,02h31m45.894054s,"13d22'54.716270""",2,3.7cm,X,X,S,P,P,200.0,,3.7cm,X,X,S,P,P,,200.0
0231-395,J2000,02h31m51.7886s,"-39d35'45.744""",0,20cm,L,S,X,X,X,45.0,,20cm,L,S,X,X,X,45.0,
