name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url,ra_deg,dec_deg,ra_rad,dec_rad,folder,wget_command,status,new_size,wget_error,downloaded_folder,extracted_ms,spw_selected,extracted_gain_onsource_min,caltables_found,corrected_used,size,spw_center_ghz,spw_bandwidth_mhz,spw_unflagged_frac,spw_n_rows,spw_matches_band
1224+035,12:24:52.421938,+3:30:50.292910,C,C,7.719005,2018-04-18 00:00:00+00:00,J1224+0330,10.13916666735895,A,https://data.nrao.edu/portal/#/productViewer/18A-207.sb35016952.eb35349698.58226.073421030094,186.21842474166664,3.513970252777778,-3.0330606675602327,0.0613303507281096,,,,,,,,,,,,,,,,,
1327+221,13:27:00.861311,+22:10:50.163060,L,L,4.027284,2024-05-02 00:00:00+00:00,J1327+2210,10.138333338545635,B,https://data.nrao.edu/portal/#/productViewer/24A-078.sb45367651.eb45804068.60432.45140842593,201.7535887958333,22.18060085,-2.7619209049775533,0.3871245149031529,,,,,,,,,,,,,,,,,
1159+292,11:59:31.833911,+29:14:43.826940,C,C,8.974261,2018-04-28 00:00:00+00:00,J1159+2914,10.138333307113498,A,https://data.nrao.edu/portal/#/productViewer/18A-207.sb35016800.eb35372470.58236.03935226852,179.8826412958333,29.245507483333338,3.1395443577962103,0.5104303970008074,,,,,,,,,,,,,,,,,
2218-035,22:18:52.037725,-3:35:36.879410,C,C,7.698647,2019-08-29 00:00:00+00:00,J2218-0335,10.005833313334731,A,https://data.nrao.edu/portal/#/productViewer/19A-143.sb36840056.eb37140247.58724.32270777778,334.71682385416665,-3.593577613888889,-0.441274669106482,-0.0627197612883226,,,,,,,,,,,,,,,,,
0650-166,6:50:24.581852,-16:37:39.725000,C,X,9.923628,2023-02-16 00:00:00+00:00,J0653-0625,9.972500003641471,B,https://data.nrao.edu/portal/#/productViewer/23A-002.sb43107497.eb43644877.59991.0422612963,102.60242438333331,-16.62770138888889,1.790750126017679,-0.2902081362745452,,,,,,,,,,,,,,,,,
0653-064,6:53:00.598700,-6:25:32.520000,X,X,9.923628,2023-02-16 00:00:00+00:00,J0653-0625,9.972500003641471,B,https://data.nrao.edu/portal/#/productViewer/23A-002.sb43107497.eb43644877.59991.0422612963,103.2524945833333,-6.4257,1.802095991376777,-0.1121496217453996,,,,,,,,,,,,,,,,,
1150+242,11:50:19.212173,+24:17:53.835030,C,C,7.361201,2018-12-27 00:00:00+00:00,J1150+2417,9.97248333413154,C,https://data.nrao.edu/portal/#/productViewer/18A-176.sb36078178.eb36085249.58479.359806875,177.58005072083333,24.298287508333335,3.099356570937071,0.4240851196166258,,,,,,,,,,,,,,,,,
0713+438,7:13:38.164129,+43:49:17.206980,L,L S,6.780064,2021-09-05 00:00:00+00:00,J0958+3224,9.971666674828157,C,https://data.nrao.edu/portal/#/productViewer/21A-334.sb39898070.eb40110130.59462.897265023144,108.40901720416666,43.82144638333334,1.892094289063886,0.764828522375328,,,,,,,,,,,,,,,,,
1048+717,10:48:27.619917,+71:43:35.938280,C,X,4.143998,2020-10-04 00:00:00+00:00,J1048+7143,9.93916669394821,B,https://data.nrao.edu/portal/#/productViewer/20B-419.sb38674992.eb38690358.59126.65823767361,162.1150829875,71.72664952222222,2.8294419652757203,1.2518661955867951,,,,,,,,,,,,,,,,,
1430+107,14:30:09.738791,+10:43:26.861970,C,C,7.037817,2019-08-28 00:00:00+00:00,J1430+1043,9.939166672993451,A,https://data.nrao.edu/portal/#/productViewer/19A-143.sb36881424.eb37136984.58723.09133768518,217.54057829583328,10.724128325,-2.4863859592247803,0.1871713486776345,,,,,,,,,,,,,,,,,
1313+675,13:13:27.984800,+67:35:50.376000,L,L,4.81744,2020-09-29 00:00:00+00:00,J1313+6735,9.939166662516072,B,https://data.nrao.edu/portal/#/productViewer/20B-419.sb38674664.eb38678588.59121.42539103009,198.3666033333333,67.59732666666666,-2.8210349530153613,1.1797959158794966,,,,,,,,,,,,,,,,,
1549+506,15:49:17.468534,+50:38:05.788200,L,L,6.728687,2020-07-19 00:00:00+00:00,J1549+5038,9.939166652038692,B,https://data.nrao.edu/portal/#/productViewer/20A-128.sb38351722.eb38515232.59049.15809359954,237.3227855583333,50.634941166666664,-2.141121309182221,0.8837464399119521,,,,,,,,,,,,,,,,,
1436+233,14:36:40.981113,+23:21:03.259730,C,C,5.826213,2022-12-26 00:00:00+00:00,J1436+2321,9.80666664778255,C,https://data.nrao.edu/portal/#/productViewer/22B-106.sb43062321.eb43163869.59939.65989912037,219.1707546375,23.350905480555557,-2.4579340146745805,0.4075501839576832,,,,,,,,,,,,,,,,,
2148+069,21:48:05.458679,+6:57:38.604220,L,L,3.081179,2017-02-11 00:00:00+00:00,J2148+0657,9.723316688323392,D,https://data.nrao.edu/portal/#/productViewer/17A-004.sb33239406.eb33496856.57795.69639670139,327.0227444958333,6.960723394444445,-0.5755616868191314,0.1214875415536515,,,,,,,,,,,,,,,,,
2241+098,22:41:49.717334,+9:53:52.445290,C,C,13.67318,2023-04-16 00:00:00+00:00,J2241+0953,9.722499987110496,B,https://data.nrao.edu/portal/#/productViewer/23A-038.sb43099659.eb43818554.60050.7977849537,340.45715555833334,9.897901469444443,-0.3410869807121561,0.1727509696797904,,,,,,,,,,,,,,,,,
2007+404,20:07:44.944851,+40:29:48.604140,L,C L S X,9.534482,2017-10-24 00:00:00+00:00,J2007+4029,9.705833337502554,B,https://data.nrao.edu/portal/#/productViewer/17B-076.sb34125356.eb34622110.58050.11496571759,301.9372702124999,40.49683448333334,-1.0133858074876638,0.7068030983693434,,,,,,,,,,,,,,,,,
0403+260,4:03:05.586048,+26:00:01.502740,L,L,7.054725,2022-06-06 00:00:00+00:00,J0403+2600,9.6408333547879,A,https://data.nrao.edu/portal/#/productViewer/22A-041.sb41834770.eb41839337.59736.590703229165,60.77327519999999,26.000417427777776,1.0606937494606152,0.4537928910076371,,,,,,,,,,,,,,,,,
1927+612,19:27:30.442628,+61:17:32.879210,L,C L,13.746653,2022-03-30 00:00:00+00:00,J1927+6117,9.640833323355764,A,https://data.nrao.edu/portal/#/productViewer/22A-423.sb41178301.eb41746986.59668.50978758102,291.8768442833333,61.29246644722222,-1.1889733641046314,1.069755346172179,,,,,,,,,,,,,,,,,
1436+636,14:36:45.802138,+63:36:37.866580,X,C K X,9.179246,2016-09-15 00:00:00+00:00,J1436+6336,9.639166676206514,B,https://data.nrao.edu/portal/#/productViewer/16B-318.sb32751362.eb32773290.57646.13711486111,219.19084224166664,63.61051849444445,-2.457583419843035,1.110212986628802,,,,,,,,,,,,,,,,,
0432+416,4:32:36.502609,+41:38:28.448550,L,S,7.863193,2024-03-16 00:00:00+00:00,J0432+4138,9.50750003219582,C,https://data.nrao.edu/portal/#/productViewer/24A-412.sb44879786.eb45307890.60385.01687361111,68.15209420416666,41.64123570833333,1.1894784359920527,0.7267766677094498,,,,,,,,,,,,,,,,,
0555+398,5:55:30.805608,+39:48:49.165000,L,C L,13.385614,2023-05-29 00:00:00+00:00,J0555+3948,9.474166691070424,B,https://data.nrao.edu/portal/#/productViewer/23A-010.sb43643732.eb44028001.60093.66670934028,88.8783567,39.81365694444444,1.551219958176962,0.6948794009400606,,,,,,,,,,,,,,,,,
0956+252,9:56:49.875361,+25:15:16.049770,L,L,4.351366,2024-06-19 00:00:00+00:00,J0956+2515,9.473333320347592,B,https://data.nrao.edu/portal/#/productViewer/24A-275.sb45389792.eb46170637.60480.04546540509,149.20781400416664,25.254458269444445,2.604167624076012,0.4407734476093148,,,,,,,,,,,,,,,,,
1305-105,13:05:33.015026,-10:33:19.428210,C,C,14.708489,2023-05-13 00:00:00+00:00,J1246-0730,9.457500010030344,B,https://data.nrao.edu/portal/#/productViewer/23A-038.sb43087243.eb43916394.60077.34792020833,196.3875626083333,-10.555396725,-2.855575729697667,-0.1842264267054764,,,,,,,,,,,,,,,,,
2040-251,20:40:08.772872,-25:07:46.662820,X,C X,10.19114,2020-08-08 00:00:00+00:00,J2040-2507,9.308333324734122,B,https://data.nrao.edu/portal/#/productViewer/20A-491.sb38193827.eb38565018.59069.2728993287,310.0365536333333,-25.12962856111111,-0.8720266447419317,-0.438594758194594,,,,,,,,,,,,,,,,,
1526-138,15:26:59.440733,-13:51:00.163560,L,L S,7.872439,2020-02-20 00:00:00+00:00,J1526-1351,9.22500000335276,C,https://data.nrao.edu/portal/#/productViewer/20A-365.sb37909790.eb37932011.58899.53130584491,231.74766972083333,-13.850045433333332,-2.2384254367266765,-0.2417288943624714,,,,,,,,,,,,,,,,,
2333+390,23:33:02.533406,+39:01:12.048840,L,L,11.088542,2024-12-10 00:00:00+00:00,J2333+3901,9.1591666394379,A,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47270896.eb47375690.60654.926554687496,353.2605558583333,39.02001356666666,-0.117625490026327,0.6810277109111892,,,,,,,,,,,,,,,,,
0005+383,0:05:57.175409,+38:20:15.148570,C,C,9.222748,2024-11-29 00:00:00+00:00,J0005+3820,8.975833347067237,A,https://data.nrao.edu/portal/#/productViewer/24B-465.sb47226343.eb47329790.60643.9672167824,1.488230870833333,38.33754126944444,0.0259745287258641,0.6691163222710121,,,,,,,,,,,,,,,,,
0006-063,0:06:13.892894,-6:23:35.335300,C,C,7.234304,2018-11-29 00:00:00+00:00,J0006-0623,8.9758333156351,C,https://data.nrao.edu/portal/#/productViewer/18B-126.sb35791059.eb35954550.58451.07074417824,1.5578870583333333,-6.393148694444445,0.0271902585421256,-0.1115814942876324,,,,,,,,,,,,,,,,,
1419+064,14:19:08.180173,+6:28:34.803490,L,L,10.556105,2023-11-07 00:00:00+00:00,J1419+0628,8.975000007776543,D,https://data.nrao.edu/portal/#/productViewer/23B-079.sb44747441.eb44774577.60255.897367881946,214.78408405416664,6.4763343027777776,-2.5344958595541276,0.1130333570433235,,,,,,,,,,,,,,,,,
0405-131,4:05:34.003401,-13:08:13.691050,C,C,7.2344,2018-11-29 00:00:00+00:00,J0405-1308,8.974983327789232,C,https://data.nrao.edu/portal/#/productViewer/18B-126.sb35699350.eb35954556.58451.10570836806,61.39168083749998,-13.137136402777776,1.0714869639478846,-0.2292862845120761,,,,,,,,,,,,,,,,,
0854+201,8:54:48.874925,+20:06:30.640880,L,L S,5.693449,2021-07-23 00:00:00+00:00,J0854+2006,8.909166633384302,C,https://data.nrao.edu/portal/#/productViewer/21A-282.sb39997395.eb40006113.59418.744534259255,133.70364552083333,20.108511355555557,2.33356883625791,0.3509597308291126,,,,,,,,,,,,,,,,,
2011-067,20:11:14.215847,-6:44:03.555190,L,C S,6.393672,2018-10-14 00:00:00+00:00,J2011-0644,8.892149976454675,D,https://data.nrao.edu/portal/#/productViewer/18A-354.sb35368510.eb35642950.58405.96301342592,302.80923269583326,-6.734320886111111,-0.9981671911996308,-0.1175360723484609,,,,,,,,,,,,,,,,,
