name,ra,dec,wavelength,receiver,flux_jy,usable_configs,usable_A,usable_B,usable_C,usable_D,cfg_A,cfg_B,cfg_C,cfg_D
0437-187,04h37m01.482736s,"-18d44'48.613410""",6cm,C,0.97,"A,B,C,D",True,True,True,True,P,P,P,P
0437-187,04h37m01.482736s,"-18d44'48.613410""",3.7cm,X,0.98,"A,B,C,D",True,True,True,True,P,P,P,P
0438+488,04h38m59.1078s,"48d48'46.582""",20cm,L,1.37,"A,B",True,True,False,False,P,P,S,S
0439-453,04h39m00.854714s,"-45d22'22.562600""",3.7cm,X,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0440-435,04h40m17.179992s,"-43d33'08.604060""",6cm,C,3.1,"A,B",True,True,False,False,P,P,S,S
0442-002,04h42m38.660762s,"-00d17'43.419100""",6cm,C,1.17,A,True,False,False,False,P,S,S,S
0442-002,04h42m38.660762s,"-00d17'43.419100""",3.7cm,X,0.86,A,True,False,False,False,P,S,S,S
0447-220,04h47m37.2822s,"-22d03'36.8051""",20cm,L,1.9,"A,B,C,D",True,True,True,True,P,P,P,P
0449+113,04h49m07.671119s,"11d21'28.596620""",3.7cm,X,1.08,"A,B,C,D",True,True,True,True,P,P,P,P
0449+113,04h49m07.671119s,"11d21'28.596620""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0449-391,04h49m42.2594s,"-39d11'09.056""",6cm,C,0.74,"A,B",True,True,False,False,P,P,S,S
0449-391,04h49m42.2594s,"-39d11'09.056""",3.7cm,X,0.52,"A,B,C,D",True,True,True,True,P,P,P,P
0449-391,04h49m42.2594s,"-39d11'09.056""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0453-281,04h53m14.646807s,"-28d07'37.327600""",20cm,L,2.35,A,True,False,False,False,P,S,S,S
0453-281,04h53m14.646807s,"-28d07'37.327600""",6cm,C,1.05,"A,B,C,D",True,True,True,True,P,P,P,P
0453-281,04h53m14.646807s,"-28d07'37.327600""",3.7cm,X,1.6,"A,B,C,D",True,True,True,True,P,P,P,P
0453-281,04h53m14.646807s,"-28d07'37.327600""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0455-462,04h55m50.772498s,"-46d15'58.682330""",20cm,L,2.45,D,False,False,False,True,X,X,S,P
0457-234,04h57m03.179230s,"-23d24'52.020050""",20cm,L,1.4,A,True,False,False,False,P,S,X,X
0457-234,04h57m03.179230s,"-23d24'52.020050""",6cm,C,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0457-234,04h57m03.179230s,"-23d24'52.020050""",3.7cm,X,1.85,"A,B,C,D",True,True,True,True,P,P,P,P
0457-234,04h57m03.179230s,"-23d24'52.020050""",2cm,U,1.5,"A,B,C,D",True,True,True,True,P,P,P,P
0459+024,04h59m52.050664s,"02d29'31.176310""",20cm,L,1.8,"A,B,C,D",True,True,True,True,P,P,P,P
0459+024,04h59m52.050664s,"02d29'31.176310""",6cm,C,1.19,"A,B,C,D",True,True,True,True,P,P,P,P
0459+024,04h59m52.050664s,"02d29'31.176310""",3.7cm,X,1.28,"A,B,C,D",True,True,True,True,P,P,P,P
0501-019,05h01m12.809888s,"-01d59'14.256200""",3.7cm,X,3.7,"A,B,C,D",True,True,True,True,P,P,P,P
0501-019,05h01m12.809888s,"-01d59'14.256200""",2cm,U,3.1,"A,B,C,D",True,True,True,True,P,P,P,P
0503+020,05h03m21.197177s,"02d03'04.676380""",20cm,L,2.4,"A,B,C,D",True,True,True,True,P,P,P,P
0503+020,05h03m21.197177s,"02d03'04.676380""",6cm,C,1.95,"A,B,C,D",True,True,True,True,P,P,P,P
0503+020,05h03m21.197177s,"02d03'04.676380""",3.7cm,X,1.53,"A,B,C,D",True,True,True,True,P,P,P,P
0503+020,05h03m21.197177s,"02d03'04.676380""",2cm,U,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0508+845,05h08m42.363503s,"84d32'04.544020""",6cm,C,1.15,"A,B,C,D",True,True,True,True,P,P,P,P
0510+180,05h10m02.369122s,"18d00'41.581710""",3.7cm,X,0.82,"A,B,C,D",True,True,True,True,P,P,P,P
0510+180,05h10m02.369122s,"18d00'41.581710""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
0512+152,05h12m41.012900s,"15d17'23.479270""",3.7cm,X,0.68,"A,B,C,D",True,True,True,True,P,P,P,P
0512+406,05h12m52.5440s,"40d41'43.603""",3.7cm,X,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0513-219,05h13m49.114326s,"-21d59'16.092020""",3.7cm,X,1.1,"A,B,C,D",True,True,True,True,P,P,P,P
0513-219,05h13m49.114326s,"-21d59'16.092020""",2cm,U,1.0,"A,B,C,D",True,True,True,True,P,P,P,P
