name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url
0157+747,1:57:34.964908,+74:42:43.229980,L,L,98.648934,2022-01-18,J0157+7442,22.43833336397074,B,https://data.nrao.edu/portal/#/productViewer/21B-215.sb40157619.eb41141164.59597.07311185185
0201-115,2:01:57.164700,-11:32:33.133000,L,L,4.164818,2019-12-15,J0201-1132,7.977499990956858,D,https://data.nrao.edu/portal/#/productViewer/19B-204.sb37534696.eb37595545.58832.16749317129
0203+115,2:03:46.657061,+11:34:45.409620,L,L,8.757643,2018-03-22,J0203+1134,5.56748334900476,A,https://data.nrao.edu/portal/#/productViewer/18A-316.sb35148782.eb35243126.58199.830930428245
0204+152,2:04:50.413904,+15:14:11.043460,L,C S,5.513145,2018-12-09,J0204+1514,5.734166661277413,C,https://data.nrao.edu/portal/#/productViewer/18B-229.sb35833323.eb35988722.58461.272431261576
0205+322,2:05:04.925371,+32:12:30.095600,L,L,3.285398,2022-12-10,J0205+3212,11.168333346722648,C,https://data.nrao.edu/portal/#/productViewer/22B-319.sb43053492.eb43085640.59923.931312754634
0207+627,2:07:02.991400,+62:46:12.203000,X,C X,26.376147,2019-11-12,J0207+6246,2.909166655736044,D,https://data.nrao.edu/portal/#/productViewer/19B-139.sb37400903.eb37513913.58799.01879219907
0215-023,2:15:42.017245,-2:22:56.751750,C,C KU L X,15.790176,2016-10-05,J0215-0222,12.549166650278494,A,https://data.nrao.edu/portal/#/productViewer/16B-382.sb32531025.eb32889004.57666.230434212965
0219+013,2:19:07.024497,+1:20:59.865760,X,X,19.72496,2024-07-22,J0339-0146,3.3241666783578694,B,https://data.nrao.edu/portal/#/productViewer/24A-381.sb45868042.eb46237536.60513.451323657406
0224+278,2:24:12.297300,+27:50:12.016000,L,L,51.212354,2017-03-20,J0224+2750,3.1583333224989474,D,https://data.nrao.edu/portal/#/productViewer/17A-396_sb33611387_1_1_008.57832.81079510417
0224+069,2:24:28.428190,+6:59:23.341640,X,X,24.252156,2019-08-20,J0110-0741,3.4900000027846545,A,https://data.nrao.edu/portal/#/productViewer/19A-223.sb36969900.eb37092511.58715.424748749996
0226+343,2:26:10.333198,+34:21:30.286450,KU,KU X,67.656539,2022-11-12,J0313+4120,6.1483333026990294,C,https://data.nrao.edu/portal/#/productViewer/22B-267.sb42703697.eb42987367.59895.06416113426
0229+777,2:29:14.711500,+77:43:16.113000,L,L,19.750116,2019-01-21,J0229+7743,7.479166636476293,C,https://data.nrao.edu/portal/#/productViewer/18B-048.sb36110611.eb36141244.58504.03136233796
0239-025,2:39:45.472266,-2:34:40.914300,C,C,6.31254,2023-01-19,J0239-0234,3.9891666651237756,B,https://data.nrao.edu/portal/#/productViewer/23A-059.sb43050081.eb43413821.59963.04443475694
0239+042,2:39:51.263048,+4:16:21.411830,X,C KU X,29.730069,2020-07-04,J0239+0416,7.47916666790843,B,https://data.nrao.edu/portal/#/productViewer/20A-065.sb38320300.eb38436602.59034.521628877315
0240-231,2:40:08.174510,-23:09:15.730850,L,L,8.548473,2017-03-04,J0240-2309,6.9808333239052445,D,https://data.nrao.edu/portal/#/productViewer/17A-025.sb33362373.eb33589933.57816.935698333335
0242+110,2:42:29.170847,+11:01:00.728230,C,C,37.309242,2025-01-29,J0302+1218,22.321666670031846,A,https://data.nrao.edu/portal/#/productViewer/24B-010.sb46665888.eb47557362.60703.93844891204
0242-215,2:42:35.909850,-21:32:25.935070,L,S,14.246091,2019-10-04,J0609-1542,5.984166656853631,A,https://data.nrao.edu/portal/#/productViewer/19A-336.sb36901201.eb37327007.58760.427636249995
0259+077,2:59:27.076633,+7:47:39.643230,L,L,12.159766,2023-04-09,J0259+0747,19.779166682856157,B,https://data.nrao.edu/portal/#/productViewer/23A-354.sb43148991.eb43786849.60043.93376165509
0309+104,3:09:03.623523,+10:29:16.340820,C,C,16.471274,2016-12-01,J0309+1029,3.324999975739047,A,https://data.nrao.edu/portal/#/productViewer/16B-376.sb32987847.eb33046593.57723.13622295139
0312-148,3:12:46.398800,-14:49:52.051000,L,L,13.564898,2022-08-02,J0312-1449,11.96666669799015,D,https://data.nrao.edu/portal/#/productViewer/22A-023.sb41898193.eb42470372.59793.62605548611
0318+164,3:18:57.802658,+16:28:32.698500,L,L S,51.499591,2018-03-27,J0318+1628,6.9808333239052445,A,https://data.nrao.edu/portal/#/productViewer/18A-322.sb35204337.eb35250710.58203.965917939815
0321+123,3:21:53.103505,+12:21:13.954030,L,L,10.313651,2018-10-16,J0321+1221,4.903516672784463,D,https://data.nrao.edu/portal/#/productViewer/18A-072.sb35509067.eb35645033.58407.46232196759
