name,ra,dec,band_guess,configs,reason
0646+448,6:46:32.025985,+44:51:16.590130,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0648-307,6:48:14.096441,-30:44:19.659400,L,A,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0650+600,6:50:31.254325,+60:01:44.555690,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0655+541,6:55:14.822300,+54:08:58.421000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0700+171,7:00:01.525538,+17:09:21.701540,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0747-331,7:47:19.688300,-33:10:47.127000,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0748+240,7:48:36.109278,+24:00:24.110180,X,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0750+125,7:50:52.045731,+12:31:04.828160,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0801+142,8:01:33.501000,+14:14:42.406000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0804+102,8:04:47.954600,+10:15:22.548000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
0808+498,8:08:39.666274,+49:50:36.530460,C,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0824+392,8:24:55.483865,+39:16:41.904300,KU,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0828-375,8:28:04.780268,-37:31:06.280640,L,"A,B,C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0831+044,8:31:48.876955,+4:29:39.085340,C,"A,B",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0837-198,8:37:11.182000,-19:51:56.810000,C,"C,D",no valid dataset found (needs has_caltables + probable_gain_calibrator)
0853-207,8:53:00.265900,-20:47:28.094000,L,D,no valid dataset found (needs has_caltables + probable_gain_calibrator)
